	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
ENSG00000156990.14	34	49	42	53.99999	58	72	138.00001	133	138.00001	169	172	142.99999
ENSG00000157005.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157014.11	26.00001	22	13	22	26	11	87	90	102	112	89	111.99999
ENSG00000157017.16	0	0	0	0	0	0	2	0	4	4	0	0
ENSG00000157020.18	297	317	347.00001	235	480	479.99999	510	533	531.99998	684	772.99999	681
ENSG00000157021.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157036.13	1	2	1	6	7	0	22	12	21	32	27	28
ENSG00000157045.9	14	18	20	9.00001	7	7	48	65.00001	44.99999	29	46	39
ENSG00000157060.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157064.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157077.16	0	1	5	0	0	1	2	5	4	2	1	0
ENSG00000157087.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157093.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157103.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157106.18	27	8	21	24	20	12	72	68	42	61	72	40
ENSG00000157107.14	1	0	2	0	4	0	8	11	2	5	3	1
ENSG00000157110.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157111.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157119.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157131.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157150.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157152.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157168.22	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157181.16	22	19	9	11	22	5	57	54	45	54.00001	75	41
ENSG00000157184.7	6	3	2	10	2	3	33	24	26	23.00001	24	19
ENSG00000157191.20	61	58	42	48	72	72.99999	75	64	76	86	85	74
ENSG00000157193.18	8	7	2.99998	8	9	5.00003	40.99999	30	34	39	30.00001	24.00001
ENSG00000157211.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157212.20	5.00001	9	9	6.99999	6	8	39	36	36	37	34	47
ENSG00000157214.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157216.17	6	7	5	14	10	3.99999	60	68	62	70	72	69
ENSG00000157219.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157224.16	8	13	11	13.00001	12	8.00001	36	23.00001	18	26	21	15
ENSG00000157227.14	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000157240.4	0	6	4	4	3	0	12	19	13	16	9	9
ENSG00000157259.8	12	10	2	5	3	4	32	30	31	33	29	26
ENSG00000157303.11	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000157306.14	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000157315.5	0	0	0	0	2	0	0	1	0	3	0	0
ENSG00000157322.18	0	1	0	0	0	0	1	1	0	1	1	1
ENSG00000157326.19	5	6	9	7	5	3	116.00001	98.99999	117	89	98	99
ENSG00000157330.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157335.21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157343.9	0	0	0	0	0	0	0.99999	0	0	0	0	0
ENSG00000157349.17	9.99999	12	3.99999	13	16	7	35	47	34.00001	45	40	45
ENSG00000157350.13	0	0	7	1	0	1	9	13	16	9	12	18
ENSG00000157353.17	1.00002	0	5.00001	1	2.00001	1	12	13	13	3	2	5.00001
ENSG00000157368.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157379.14	3	4	15	2	1	2	16	13	8	4	2	10
ENSG00000157388.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157399.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157404.17	3	0	0	2	1	3	6	3	8.00001	4	5	3
ENSG00000157423.18	0	0	0	1	1	0	2	0	0	1	2	0
ENSG00000157426.14	9	13	1	10	14	12	10	7	9.00001	13	9	8
ENSG00000157429.16	0	0.99999	0	0	0	0	6	2	2	0	5	2
ENSG00000157445.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157450.16	1	1	1	3	3	5	27	23	17	35	31.00001	29
ENSG00000157456.8	58	57	59	77	72	69	284	306	286	361	325	311
ENSG00000157470.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157483.9	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000157500.12	7	12	8	12	5	6	27	26	28	35	37	29
ENSG00000157502.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157510.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157514.18	50	46	63	32	32	38	223	230	242	105	124.99999	103
ENSG00000157538.14	36	31	41	41	32	24	81.99999	91	94	86	80	58
ENSG00000157540.22	6	10	1	11	12	8	74	85	64	69	57.99999	52
ENSG00000157542.11	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157551.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157554.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157557.13	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000157570.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157578.14	0	1	0	0	0	0	1	0	0	0	0	0
ENSG00000157593.20	71	63.00001	92	82.99999	80	66.99999	231	224.99999	221	253	217	242
ENSG00000157600.12	0	1	0	5	1	4	37	37	36.99999	21	18	21
ENSG00000157601.15	148.99998	118.99999	123.99999	212	388	289	198.00003	248.99995	175.99997	348	404.99998	466.00001
ENSG00000157613.11	0	1	4	2	0	0	4	4	2	2	2	0
ENSG00000157617.17	0	3	0	0	0.99999	0	18	25	16	7	12	12
ENSG00000157625.16	10	1	5	7	0	6	25	25	15	21	20	17
ENSG00000157637.13	17	32	12	15	21	6	168	155.99999	156	119	95	95.00001
ENSG00000157653.12	3	0	0	0	1	0	0	0	0	1	1	1
ENSG00000157654.19	10	4	5	5	3	0	48	46	50	27	23	29
ENSG00000157657.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157680.17	1	0	0	0	0	0	0	0	1	0	1	0
ENSG00000157693.15	16	16	10	16	4	9	64	58	65	59	52	48
ENSG00000157703.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157734.14	37	19	15	25	25	27	30	27	35	40	35	37
ENSG00000157741.15	5	7	5	1	0	1	22	30	18	15	14	12
ENSG00000157764.14	16	19	11	7	20	6	98	86.99999	86	77.99999	82.99999	55.99999
ENSG00000157765.13	0	0	0	0	0	0	3	0	5	1	0	0
ENSG00000157766.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157778.9	353	369	330	465	550	553	160	121	170	233	220	224
ENSG00000157782.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157796.18	1	3	2	1	2	1	7	4	17	4	9.99999	5
ENSG00000157800.18	8	5	11	14	17	8	7	10	14	16	5	10
ENSG00000157823.17	26	34	19	25	27	26	79	75	80.99999	135	89	81
ENSG00000157827.20	0	0.99999	3	2	1	3	20	22	18	11	10	5
ENSG00000157833.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157837.16	15	13	5	7	14	8	79	91	80	63	56	67
ENSG00000157851.17	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000157856.12	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000157869.16	2	6.99999	7	2	3.99999	6	45	60	44	54	50	53
ENSG00000157870.17	5	6	9	4	3	4	39	40	39	25	23	24
ENSG00000157873.18	5.00001	14	10	10	2.00001	18.99999	67	76	71	65	49	66
ENSG00000157881.16	1	10	2	5	13	7	40	27	40	44	52	48
ENSG00000157884.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157890.19	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157895.11	4	16.99999	6	9	10	26	49	45	43	53	56	46
ENSG00000157911.11	5	0	0	0	0	3	86	59	54	49	40	49
ENSG00000157916.20	175.99999	202.00001	220	241	283.99999	225.99999	512.00001	512	486	473	522	535
ENSG00000157927.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157933.11	4	3	5	3	1	1	20	15	17	18	10	16
ENSG00000157954.15	25	19	16	16	17	17	121	128	114	121	110	96
ENSG00000157965.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157978.12	35	51	38	27	32	26	163	150	152	135	118	127
ENSG00000157985.20	0	2	0	0	0	0	2	3	1	0.99999	2	1
ENSG00000157992.12	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000157999.6	0	0	0	0	0	0	2	0	1	0	0	1
ENSG00000158006.14	8	2	6	3	4	3	23	21	19	15	26	25
ENSG00000158008.10	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000158014.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158019.21	25	27	51	36	49	27	124	84	98.00001	114	114	129
ENSG00000158022.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158023.10	1	2	0	3	0	3	2	0	1	0	1	1
ENSG00000158042.9	647	665	620	824	898	943	223	220	244	319	333	321
ENSG00000158050.5	22	10	8	19	13	20	59	59	49	95	75	85
ENSG00000158055.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158062.21	3	9	9	11	2	10	40.99999	29.00001	42	44.99998	44	39
ENSG00000158077.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158079.16	3	0	0	0	3	0	2	4	10	5	2.00001	4
ENSG00000158089.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158092.7	9	10	5	8	8	9.00001	92	96	94	90	92	64
ENSG00000158104.11	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000158106.15	0	0	0	0	0	0	0	0.99999	0.99999	0	0	0
ENSG00000158109.15	8	14	8	9	11	10	72	84	94	68	56	72
ENSG00000158113.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158122.12	13	18	18	10	22	11	71.99999	63	63	68	68	60.99999
ENSG00000158125.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158156.9	0.99999	3.99999	0	0	2.00001	0	14	16.99999	14	18	16	11
ENSG00000158158.12	3	8	1	0	10	3	19	19	18	17	19	20
ENSG00000158161.16	18	18	6.99999	16	9	14	33	47	43	57	56	58
ENSG00000158163.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158164.7	0	3	0	1	0	0	2	2	0	0	0	1
ENSG00000158169.14	15	1	0	10	4.99998	8	35	39	33	48	48	34
ENSG00000158186.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158195.11	28	38	50	47	53	34	204	219	161	233	189	244
ENSG00000158201.10	12.99999	16	21	12	27	26	151	152	140	170	164	131
ENSG00000158220.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158234.13	38	40	33	18	35	33	33	40	34.99999	32	39	21
ENSG00000158246.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158258.16	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000158270.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158286.13	0	0	0	0	0	0	0	1	1	0	0	0
ENSG00000158290.19	20	10.99999	10	7	24	7	97.99999	87.99999	83	77	67	51
ENSG00000158292.7	0	0	0	0	0	0	1	2	2	0	0	0
ENSG00000158296.14	0	0	0	0	0	0	0	0	1	1	0	0
ENSG00000158301.20	0	0	1	0	0	0	1	2	6	1	0	0
ENSG00000158315.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158321.19	0	0	0	0	2	0	1	0	0	0	0	0
ENSG00000158352.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158373.9	12	19	15	37	23	17	8	5	20	12	8	9
ENSG00000158402.21	18	8	20	11	18	11.00001	33	43	46	37	31	44
ENSG00000158406.6	44	33	33	89	43.99999	57	9	8	8	10	5.00001	7
ENSG00000158411.11	91	59	68	91	124.00001	88.99999	77	65.99999	75.00001	84.99998	59	84
ENSG00000158417.12	61	30	68	82	70	30	165	155	130	177	197	93
ENSG00000158423.17	0	0	0	0	0	0	1	4	0	0	0	0
ENSG00000158427.15	9	18	21	12	10	22	1	8	5	4	2	2
ENSG00000158428.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158435.8	13	18	22	13	14	13	144	126	112	113	107	113
ENSG00000158445.10	1	0	0	0	1	0	0	0	0	0	0	0
ENSG00000158457.6	7	10	5	7	10	7	65	68	51	35	31	31
ENSG00000158458.21	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000158467.17	1	2	12	11	3	0	21	32	20	24	24	27
ENSG00000158470.5	4	3	9	5	2	9	30	30	25	48	28	45
ENSG00000158473.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158477.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158480.11	7	2	3	2	11	2	23	21	26	27	16	33
ENSG00000158481.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158482.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158483.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158485.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158486.15	0	0	0	0	0	0	0	0	0.99999	0	0	0
ENSG00000158488.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158497.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158516.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158517.16	0	0	1	0	1	0.99999	0	5	1	2	1	3
ENSG00000158525.16	0	2	2	2	0	0	1	0	0	0	0	0
ENSG00000158526.8	34	25	58	39	38	32	97	77	94	130	81	107
ENSG00000158528.12	0	0	0	2	0	0	0	0	0	0	0	0
ENSG00000158545.16	3	8	4	14	15	8	43	47	41	56	30	46
ENSG00000158552.13	18	55.00001	30	23	36.00001	33	117	104.00002	87	87	83	69.99999
ENSG00000158553.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158555.15	0	0	0	0	0	0	0	0	1	0	2	0
ENSG00000158560.14	2	2	0	1	1	0	0.99999	2.00001	3	0	0	0.99999
ENSG00000158571.11	0	0	0	0	0	0	0.99999	0	0	0	0	0
ENSG00000158578.21	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158604.15	73	63	119	61	103	73	222.99999	269.00001	250.00001	238.00001	191	209
ENSG00000158615.10	13	23	12	25.00001	28	18	104	156	101	169	109.00001	190
ENSG00000158623.14	0	1	0	6	1	1	9	11	7	5	5	4
ENSG00000158636.17	72	84	68	51	65	46	54.99999	54	46.00001	46	49	36
ENSG00000158639.13	8325	8289.00001	8232	8385	8167.99999	8497	1208	1179	1298	1180	1299	1229.99999
ENSG00000158669.11	38	27	29	40	56	29	124	111	118	118	108	124
ENSG00000158683.10	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000158691.15	4	3	1	2	4	1	10	4	11	14	11	3
ENSG00000158710.15	228	218	187	332	403	353	962	829	902	1387	1304	1380
ENSG00000158711.14	21	10	7	25	16	13	45	66	48	61	50	36
ENSG00000158714.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158715.6	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000158716.9	34	55	59	56.99999	77	68	151	146	175	138	141	114
ENSG00000158717.11	0.99999	3	2	3	0	0	22	25	32	24	22	34
ENSG00000158731.2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158747.15	0	0	0	1	0	1	3.00001	1	1	1	0	4.99998
ENSG00000158748.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158764.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158769.19	12	14	13	8	8	4	50	24	31	27	15	22
ENSG00000158773.14	16.99999	17	14	26	22	32.99999	49	49	37	65.99999	71	74
ENSG00000158786.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158792.16	0	3	0	0	1	1	9	5	14	7	8	5
ENSG00000158793.14	10	11	4	5	2.00001	8	43.00001	62	51.00001	43	38.99999	42.00001
ENSG00000158796.17	21	19	13	18	24	7	70.99999	58	69	88.00001	75	91.99999
ENSG00000158805.12	1	1	5	7	4	3	37.00001	18	22.00001	29	17.99999	34
ENSG00000158806.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158813.18	0	1	2	0	8	2	10	11	9	7	5	9
ENSG00000158815.11	0	0	0	0	0	0	3	0	0	1	0	1
ENSG00000158816.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158825.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158828.8	6	6	3	1	2	0	68	80	92	21	19	19
ENSG00000158850.15	72	78	96	58	68	75	351.99999	314	358	322.99999	294.00001	320
ENSG00000158856.19	0	1.99998	0	0	0	0	0	0	0	0	0	0
ENSG00000158859.10	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000158863.22	1	1	3	1	1	3	1	4	6	2	5	7
ENSG00000158864.13	28	60.00001	30.99999	53	62	34	240	234	227.99999	244	240.99999	231.99999
ENSG00000158865.13	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000158869.11	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000158874.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158882.15	15	13	6.00001	16	9	6	44	44	59	62	62	58.00001
ENSG00000158887.19	0	0	0	0	0	0	0	1	0	0	0	1.00002
ENSG00000158901.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158941.17	22	18	22	10	13	19	60.00001	62	59.00001	59	39.99999	46.00001
ENSG00000158955.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158966.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158985.14	20	22	17	23	19	14.00001	130.00001	121.00001	122	127.99999	120	101
ENSG00000158987.22	197	179	162	190	168	161	71.00001	71	61.00001	77.00001	81	63.99999
ENSG00000159023.23	19.99998	34.00001	36	28	35.00001	29.00001	195	235.99998	195.00001	222	168.99999	204
ENSG00000159055.4	16	17	21	20	17	11	121	110	114	152	125	121
ENSG00000159063.14	33.00001	59.00001	74.99999	72.00001	92	82.00001	341	349	344	341.99998	348.99999	324.99999
ENSG00000159069.14	1	1	3	9	5.00001	6	142	124	139	123	134	121.99999
ENSG00000159079.19	43.99999	47	51	28	98.00001	71	154	142	165.99999	202	189	174
ENSG00000159082.18	5	5	3.99999	1	1	3	13	9.99999	14	19.99999	20	5
ENSG00000159086.15	11	5	7	11	12	2	43	37.99999	22	51	34	21.00001
ENSG00000159110.22	28	33	31	29	27	12	133	139	159	135.99999	121	142
ENSG00000159111.13	30	23	29	35	41	26	150	159	152	176	193	188
ENSG00000159128.16	10	9	7	12	7	15	90	114	88	101	70	102
ENSG00000159131.17	40	49	58.99999	66.99999	51.99999	63	276	289	253.99999	309	314	308
ENSG00000159140.23	92	78	62.99999	119.99999	98.00001	82.99999	240	247	229.99999	298.00001	241	240.99999
ENSG00000159147.18	14	7	9.99999	5.00001	13	3.99999	63.99999	57	62	32	44	31
ENSG00000159164.10	0	1	0	2	0	0	7	14	11	7	7	12
ENSG00000159166.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159167.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159173.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159176.14	6.00001	18	3	3.99999	9	0.99999	39	41	35	34	30	38
ENSG00000159182.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159184.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159186.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159189.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159197.4	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000159199.14	11049.99999	11203	11148.99999	14222	14293	13457	1581	1512	1654	1819.99999	1960	1905
ENSG00000159200.18	11	14	6	9	8	3	82	68	80	81	83	70
ENSG00000159202.18	20	24	30	25	33	15	147	138	108	113	92	96
ENSG00000159208.16	0	0	0	0	0	0	1	2	3	0	0	2
ENSG00000159210.10	56	92	113	117.99999	85	81	269.99999	275	283	294	285	306
ENSG00000159212.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159214.13	1	0	0	5	2	0	2	0	2	1	8	2
ENSG00000159216.20	3	4	6	11	18	15.00001	25	23	22	50	32	51.99999
ENSG00000159217.10	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000159224.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159228.13	48	61	62	69	107	84	384.99999	330	348	467	506	481
ENSG00000159231.6	1	0	2	1	5	0	7	13	7	3	7	2
ENSG00000159239.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159247.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159248.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159251.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159256.13	3	3	2	4	6	2	28	29	18	23	15	15
ENSG00000159259.8	17	19	12	14	10	13	55	52	46	45	45	44
ENSG00000159261.12	10	15	18	5	2	8	23	19	24	13	14	14
ENSG00000159263.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159267.17	5	9	9	7.00001	3.99999	4	23.99999	34	24	14	11	14
ENSG00000159289.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159307.20	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159314.13	16	10	13	6	5	11	53.00001	71.99999	64.99999	54	41	40.99999
ENSG00000159322.18	18	23	25	35	20	14	90.99999	97	109.99999	122	114.99999	128
ENSG00000159335.19	3	4	1	6	1	1	188	204	204	155	133.00001	158.99999
ENSG00000159337.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159339.13	1	0	0	3	0	0	0	0	1	0	0	0
ENSG00000159346.13	25	31	22	34	30	25	320	305	301	308	298	342
ENSG00000159348.13	43	17	32	31	41	47	151	138	139	173	172	173
ENSG00000159352.16	358	407	354	386	565	492	440	456	409	521	543	563
ENSG00000159363.19	0	0	8	1	1	0	38.00001	42	39	19.00001	14.00001	30.99999
ENSG00000159374.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159377.11	1125	1070.00001	1128.00001	1062	1276	1298.99999	1405	1467	1434	1706	1738	1860
ENSG00000159387.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159388.6	19	7	19	32	22	19	143	145	103	118	93	121
ENSG00000159398.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159399.10	20	31	20	26	21	58	93	123	114	186	130	158
ENSG00000159403.18	1	0	0	0	0	3	4	3	6	6	0	7
ENSG00000159409.15	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000159423.17	24	10	16	16	8	6	52	47	55	44.99999	46	50
ENSG00000159433.12	0	3	0	3	6	3	7	6	2	7	5	11
ENSG00000159445.13	45	47	55	40	47	28	50.99999	44	50	37	35	39
ENSG00000159450.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159455.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159459.12	7	6	10	7	9	6	21	21	30	35	39	18
ENSG00000159461.15	3	9	11	15	11	5	67	98	73	52	53	61
ENSG00000159479.17	173	188	192	202	290	311	175	180	177	260.00001	284.00001	277
ENSG00000159495.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159496.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159516.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159527.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159556.10	3	4	10	5	9	2	39	39	48	43	58	47
ENSG00000159579.14	2	2	5	3	5	9	40	30.99999	22	38	40	31
ENSG00000159588.15	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000159592.11	12	14	9.99999	14	5	10	58	72	55.99999	67	43	46.00001
ENSG00000159593.15	21	13	10	21.00001	18	17	97	58	62	90	77	45
ENSG00000159596.7	8	18	14	9	3	8	62	50	54	51	60	35
ENSG00000159618.16	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000159625.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159640.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159648.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159650.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159658.15	10	5	8	9	3.99999	4	32.99999	37.00001	31.99999	38	33	36
ENSG00000159674.12	0	0	0	4	0	0	2	8	11	1	1	2
ENSG00000159685.11	24	37	23	32	17	28	57	41	41	38	35	43
ENSG00000159692.18	50	49	35	49	38	48	259	229.00001	246.00001	252	211	254
ENSG00000159708.18	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000159712.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159713.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159714.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159720.13	23	17	9	14	9	5	73	72	73	69	69	87
ENSG00000159723.5	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159733.14	3	4	3	0	0	2	10	4	7	7	3	7
ENSG00000159753.15	1	6	0	2	2	0	21	15	15	6	8	7
ENSG00000159761.15	1	0	0	1	0	2	5	2	7	2	3	5
ENSG00000159763.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159784.18	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159788.20	0	0	7	0	0	0	0	0	0	0	0	1
ENSG00000159792.10	12	6	11	6	6	10	30	41	32	31	25	26
ENSG00000159840.16	5.00001	3	0.99999	6	12	5	25	23	20	51	54	58
ENSG00000159842.16	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000159860.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159871.15	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000159873.10	37.99999	29	16	6.99999	17.00001	5	152	149	120	128.99999	83	112.99999
ENSG00000159882.13	1	6	3	7	0	4	18	17	25	20	14	12
ENSG00000159884.12	25.99999	37	27	26	55.00001	47	138.99998	110	121	146	135	159.99999
ENSG00000159885.14	2	9	7	3	5	1	13	9	17	20	18	14
ENSG00000159899.16	0	2	1	1	3	0	4	2	2	1	0	1
ENSG00000159904.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000159905.15	0	0	0	0	0	0	0	2	0	0	1	0
ENSG00000159915.13	1	1	2	2	2	3	12	6	6	9	8	5
ENSG00000159917.17	6	1	2	2	3	0	10	11	9	5	9	10
ENSG00000159921.20	13	21	6	14	13	8	56	65	52	61	44	42
ENSG00000159958.7	1	0	2	0	0	0	0	2	1	0	1	1
ENSG00000159961.3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160007.20	1	3	13	3	0	2	37	21	34	31	29	37
ENSG00000160013.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000160014.17	416.99999	445	448	485	590	485.99999	830	899.00001	900	980	840	895
ENSG00000160049.12	117	147	120.00001	159	185	144	165	191	162.99999	200.00001	189	204
ENSG00000160050.16	102	102	90	35	25	19	30	34	20	7	6	6
ENSG00000160051.12	1	0	0	2	1	1	8	5	6	6	7	6
ENSG00000160055.20	21	18	21	12	24	16	17	11	12.00001	12	13	12
ENSG00000160058.19	16	19	17	13	22	32	72	90	68	62	83	76
