	SKMM2_cDNA_control_1	SKMM2_cDNA_control_2	SKMM2_cDNA_control_3	SKMM2_cDNA_IL6_1	SKMM2_cDNA_IL6_2	SKMM2_cDNA_IL6_3	SKMM2_dRNA_control_1	SKMM2_dRNA_control_2	SKMM2_dRNA_control_3	SKMM2_dRNA_IL6_1	SKMM2_dRNA_IL6_2	SKMM2_dRNA_IL6_3
ENSG00000003402.21	58	73	45	83.00001	78	90	86	50	58	107	82	81
ENSG00000003436.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003509.16	4	11	5	5.00001	15	7	18	40	24.00001	25	15	20
ENSG00000003756.17	20	10	16	13	15	13	58	46	48	51	51	48
ENSG00000003987.14	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000003989.18	5	7	5	2.00001	2	4	15	22	15	5	8.99999	7
ENSG00000004059.11	173	246	195	154	216	204	448	422	411	359	325	409
ENSG00000004139.14	4	7	8	10	2	5	35	30	28	18	16	13
ENSG00000004142.12	37	57	40	62	97	51	307	344	291	362	283	409
ENSG00000004399.13	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004455.18	713.99999	730	767	882.99999	1046.00001	1024.00001	639.00001	653	692	859.99999	871.99999	891.99999
ENSG00000004468.13	34	23	35	26	37	20	93	111	83	94	86	100
ENSG00000004478.8	91	111	74	161	193	116	565	576	606	844	790	854
ENSG00000004487.18	22	36	13	25	45	29	186	176.99999	162	223	201.00001	191
ENSG00000004534.15	13	7.00002	14	11	10.00002	9	37	42	28	58	35.00001	33.99999
ENSG00000004660.15	1	1	0	0	0	3	2	1	3	1	0	0
ENSG00000004700.16	1	1	8.99998	1	8	1	97	101	98	99	102	57
ENSG00000004766.17	10	5.99999	8	4	12.00001	9	52	40	35	39.99999	42	32
ENSG00000004776.13	1	0	2	1	4	0	3	0	3	1	0	1
ENSG00000004777.19	2.00001	5	2	0	1	2.00001	9	10	8	8	3	5
ENSG00000004779.10	2536	2923	2836	4089	4229	4021	844	830.99999	958	1146	1209	1212.99999
ENSG00000004799.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004809.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004838.14	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000004846.17	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864.14	10	16	11	10	7	3	35	44	38	49	42	40
ENSG00000004866.22	17	8.99998	7.00002	12	14.00001	5	80.99999	86	76	86	77	85
ENSG00000004897.12	12	11	12	33	26.00001	13	98	88	85	129.99999	106	77
ENSG00000004939.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004948.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961.15	15	15	11	29	33	31	76	98.99999	77	146	141	150
ENSG00000004975.12	6	20	26	8	0	8	76	60	74	61	44	45
ENSG00000005001.10	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005007.14	35.99998	53	35	69	38.00001	38	130	125	102	105.99999	97	93
ENSG00000005020.13	24	18	19	27	10	7	91	70	69	71	88	35
ENSG00000005022.6	740	842	921	562	1155	1129	1736	1637	1724	2004	2097	2159
ENSG00000005059.16	23	20	17	15	15	12	108	83	111	81	92	86
ENSG00000005073.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005075.16	4261	4312	4360	5086	5221	5431	699	712	773	830	924	916
ENSG00000005100.13	7	8	3	7	13	0	34	32	41	53	41	42
ENSG00000005102.14	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005108.17	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000005156.12	13	17	13	28	8	6	66	80.00001	91	67	46	59
ENSG00000005175.10	33	27	27	44	31	22	89	80	71	78	89	70
ENSG00000005187.12	8.00001	7.99999	8.99999	16	6	3	79	83	73	54	69.00001	44
ENSG00000005189.20	8	6	2	2	3	2	8	8	12.00001	13	14	10
ENSG00000005194.15	11	8	11	9.00001	13	8	57	46	68	76.99999	97.00001	85
ENSG00000005206.17	5	16	4	7	2	5	53	56	48	48	30	36
ENSG00000005238.20	1	1	2	0	5	1	3	6	3.99999	4	7	5
ENSG00000005243.10	34	27.99999	26	14.00001	29	22	121.99999	125	118	76.00001	78.99999	70
ENSG00000005249.14	4	3	14	10.00001	8	4	67	56	44.00002	47	48	34.00002
ENSG00000005302.19	4	5	3	19	17	11	34.00001	31	28.00001	31.99999	41.99999	19.99999
ENSG00000005339.15	21	12	14	9	14	13	62	64	53	79	50	65.99999
ENSG00000005379.17	0	0	0	1	0	0	2.00001	2	3	2	1	0
ENSG00000005381.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005421.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005436.14	15	19.00001	13.00001	20	21	13.99999	100.00001	62	72	83	82.00001	56.00001
ENSG00000005448.17	88.00001	122	100	46	70	77	73	88.00001	79	64	81.99999	61
ENSG00000005469.12	10	19	14	23	32	15	16	11	19	15	16	20
ENSG00000005471.19	0	0	0	0	0	0	0	0	0	0	0.99999	1
ENSG00000005483.23	30	27	14	28	27.99999	11	71	81.00001	51	54	68	35
ENSG00000005486.17	57	47.99999	62	61	50	46.99999	75	102.00001	107	104	93	85.99999
ENSG00000005513.11	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005700.15	11.99999	22	19	18	20	7	68	69	61	61	74	48.99999
